"filename", "language", "YAML", "JSON", "Markdown", "Dart", "Properties", "XML", "Gradle", "comment", "blank", "total"
"d:\Flutter\projects\chatbox\assets\svgs\lock.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Flutter\projects\chatbox\assets\svgs\logout.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\mail.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\media.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\nextIcon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\not_read.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\outCorrectIcon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\outHome.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\outProfile.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Flutter\projects\chatbox\assets\svgs\profile.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Flutter\projects\chatbox\assets\svgs\qr.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Flutter\projects\chatbox\assets\svgs\read.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Flutter\projects\chatbox\assets\svgs\remove.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\removeProfile.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Flutter\projects\chatbox\assets\svgs\timer.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"d:\Flutter\projects\chatbox\assets\svgs\trash.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\assets\svgs\user-add.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Flutter\projects\chatbox\assets\svgs\user.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Flutter\projects\chatbox\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Flutter\projects\chatbox\firebase.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Flutter\projects\chatbox\lib\core\helper\bottom_sheet_helper.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\Flutter\projects\chatbox\lib\core\helper\extensions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 24, 6, 30
"d:\Flutter\projects\chatbox\lib\core\helper\show_snack_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 49, 5, 54
"d:\Flutter\projects\chatbox\lib\core\helper\spacing.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\Flutter\projects\chatbox\lib\core\theming\colors.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"d:\Flutter\projects\chatbox\lib\core\theming\font_weight_helper.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Flutter\projects\chatbox\lib\core\theming\styles.dart", "Dart", 0, 0, 0, 149, 0, 0, 0, 0, 25, 174
"d:\Flutter\projects\chatbox\lib\logic\cubits\auth_cubit\auth_cubit.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 5, 56
"d:\Flutter\projects\chatbox\lib\logic\cubits\auth_cubit\auth_state.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 9, 24
"d:\Flutter\projects\chatbox\lib\logic\cubits\home_cubit\home_cubit.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"d:\Flutter\projects\chatbox\lib\logic\cubits\home_cubit\home_state.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"d:\Flutter\projects\chatbox\lib\logic\models\room_model.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"d:\Flutter\projects\chatbox\lib\logic\models\user_model.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 3, 44
"d:\Flutter\projects\chatbox\lib\main.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 5, 58
"d:\Flutter\projects\chatbox\lib\routes\routes.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"d:\Flutter\projects\chatbox\lib\screens\auth\forgot_screen.dart", "Dart", 0, 0, 0, 97, 0, 0, 0, 1, 7, 105
"d:\Flutter\projects\chatbox\lib\screens\auth\login_screen.dart", "Dart", 0, 0, 0, 113, 0, 0, 0, 1, 5, 119
"d:\Flutter\projects\chatbox\lib\screens\auth\sign_up_screen.dart", "Dart", 0, 0, 0, 153, 0, 0, 0, 0, 10, 163
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\app_text_form_field.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 1, 5, 87
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\backto_botton.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 2, 37
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\forgot_password.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\head_title.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\header.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 1, 2, 55
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\input_field_widget.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 1, 5, 55
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\my_icon_svg.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 1, 4, 34
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\my_text_fild.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 7, 72
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\mybotton.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\mytext_rich.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 3, 49
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\or.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\otp_text_field.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\pages_body.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 3, 4, 94
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\password_fild.dart", "Dart", 0, 0, 0, 74, 0, 0, 0, 2, 6, 82
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\question_and_botton.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 3, 41
"d:\Flutter\projects\chatbox\lib\screens\auth\widgets\sign_with.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 1, 4, 40
"d:\Flutter\projects\chatbox\lib\screens\chat\chat_room.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 1, 4, 33
"d:\Flutter\projects\chatbox\lib\screens\chat\chats_builder.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
